mouse,age,treatment,MAP,PP,HR
260820,Old,hyper2,133.70374064539897,2.186152271873652,1.7270461574164875
270220,Old,ablation,,,
270220,Old,after_hyper1,,,
270520,Adult,ablation,65.37097250000001,16.164716300000002,6.044463679271087
270520,Adult,after_hyper1,65.93432814035087,16.83155524561402,5.738735893406907
270520,Adult,baseline,71.73300483125914,17.921510830515235,5.505535222691414
270520,Adult,hyper1,124.20298969362827,33.746376338731814,5.746437440853243
270520,Adult,hyper2,113.25357403955847,22.461695912023725,6.502405653083614
280521,Adult,ablation,77.89323485245903,9.903204163934404,5.575823521712073
280521,Adult,after_hyper1,68.75725087272725,10.447124181818182,5.095736378841873
280521,Adult,baseline,71.14434948717874,11.964648446091871,4.636329194071787
280521,Adult,hyper1,150.15041425586824,18.029770543150413,5.991017011998791
280521,Adult,hyper2,118.53434205023603,19.133789074206728,3.9829884796489075
290920,Adult,ablation,56.28784298076925,17.02069511538459,5.221323362480033
290920,Adult,after_hyper1,56.584347346153855,17.137820846153872,5.161969191978102
300920,Adult,ablation,47.31363419230768,3.414528962715842,4.814173816486286
300920,Adult,after_hyper1,49.55209049999999,3.089465039450374,4.868487940958222
310321,Old,ablation,60.018978838235284,9.470782455882357,6.182521303104563
310321,Old,after_hyper1,57.33125324999998,9.82906814062499,5.907464552212802
310321,Old,baseline,59.86484752659373,7.834260201418954,5.650824637296453
310321,Old,hyper1,79.29369617542271,9.579427756475738,6.4364005400731035
310321,Old,hyper2,80.64079419901555,8.904099800878738,7.0673071772782095
310820,Old,ablation,52.29281608695652,16.03030330434784,4.651162790697675
310820,Old,after_hyper1,54.91834246938778,16.77981004081633,4.511243584136995
310820,Old,baseline,56.39865229816601,15.395973917569863,4.1687051644146065
310820,Old,hyper1,107.02506139216005,38.21077126282711,4.513937668911779
310820,Old,hyper2,106.54341391064943,40.35598892069239,4.983917405807531
