,mouse,treatment,vessel,age,pulse_freq,diam_mean,pressure_d,pressure_s,speed,flux,diam_mean_before_stim,diam_max_after_stim,diam_min_after_stim,power_diam_h1,power_diam_h2,power_diam_h3,power_center_h1,power_center_h2,power_center_h3
123,270520,after_ablation,cap5,adult,5.901970766835632,6.015405555555555,62.82694449056604,,,138.37732243899882,,,,361.77249423332546,21.500068976727416,2.2153460981823736,499.0383711388965,75.42654673673313,12.713155414916304
124,270520,hyper2,pen_art,adult,,,118.1137370819672,,,,,,,,,,,,
125,270520,hyper2,sphincter,adult,,,118.09274716666667,134.77763244642858,27.019765441723415,1114.050666407298,,,,,,,,,
126,270520,hyper2,bulb,adult,,,122.68780541666663,134.77763244642858,10.41845342621846,,,,,,,,,,
127,270520,hyper2,cap1,adult,6.033306879910388,13.59474931129477,120.58277381666666,,,,,,,1018.1792495733387,64.07565950014624,,29.26541901848514,7.028653976575958,
128,20620,baseline,pen_art,adult,4.55717890986466,5.75865991902834,54.758146711111124,,,,6.890788390890613,9.0,6.84,739.2841470360182,70.03549273703787,18.48442780294748,9.651025759842089,0.08403627452684387,0.34637313224840116
129,20620,baseline,sphincter,adult,,,54.76485741463414,55.01476073913042,3.211848436685017,330.67820607495037,,,,,,,,,
130,20620,baseline,bulb,adult,4.558434385833742,6.345364729458918,54.52821823913046,55.01476073913042,1.6809641078060855,,5.389836538889585,5.62655951565823,5.28,993.2486906081652,94.56522584656366,26.471926454149486,213.7698282673209,32.15182286002042,7.1465902445924225
131,20620,baseline,cap1,adult,4.576584411349061,6.239524812030075,54.55471529268292,54.87798277777778,1.5083336080610046,,3.9600000000000004,4.3643100652275635,3.96,337.5754829217592,42.45743240882015,4.877212833406771,47.83300950927438,2.2585584867880812,0.28804742277840806
132,20620,baseline,cap2,adult,4.573187779572793,3.378900990099011,54.634373627906974,,,74.23260546981332,3.3118180835345417,3.8270510649032325,3.12,29.7472788366896,17.590053320029316,0.3007555350494712,29.154544291735327,0.7571906762289038,0.15125884089396668
133,20620,baseline,cap3,adult,4.740974131196781,3.876713261648746,54.61656338095239,,,62.817243002219826,,,,70.16392465556598,4.007857707671192,35.721988295990265,9.63375346962775,1.159459723708887,8.169682541728196
134,20620,baseline,cap4,adult,4.606339115011632,4.640871743486974,54.65918078048782,,,61.850090869900605,,,,6.323808836929989,1.5969412109754442,0.5010472614060772,8.479812045948048,0.24316158705322463,0.20885660913573567
135,20620,baseline,cap5,adult,4.583476857751694,5.027006024096385,54.714144170731686,,,25.79813145345021,,,,1.890697112747373,6.462677976190901,0.19764189035649418,34.581522906577405,0.3223752375494309,0.28741183864305353
136,20620,hyper,pen_art,adult,,,,,,,,,,,,,,,
137,20620,hyper,sphincter,adult,,,,117.88586029999998,14.06737591406914,1069.5870746468258,,,,,,,,,
138,20620,hyper,bulb,adult,,,,117.88586029999998,10.363405357445735,,,,,,,,,,
139,20620,hyper,cap1,adult,,,,105.28599045833336,6.55898756083361,,,,,,,,,,
140,20620,after_hyper,pen_art,adult,,,,,,,7.920000000000001,9.36,7.56,,,,,,
141,20620,after_hyper,sphincter,adult,,,,56.9389468275862,3.211848436685017,,4.08257755976368,4.694933871490854,3.96,,,,,,
142,20620,after_hyper,bulb,adult,,,,56.9389468275862,1.6786884986923527,,5.910637161275554,6.12,5.76,,,,,,
143,20620,after_hyper,cap1,adult,,,,54.89540917647059,2.613728652527304,,4.68,5.04,4.68,,,,,,
144,20620,after_hyper,cap2,adult,,,,,,,3.6130045597827594,3.830037839201403,3.0373534181412185,,,,,,
145,20620,after_hyper,cap3,adult,,,,,,,,,,,,,,,
146,20620,after_hyper,cap4,adult,,,,,,,,,,,,,,,
147,20620,after_hyper,cap5,adult,,,,,,,,,,,,,,,
148,20620,after_ablation,pen_art,adult,,,,,,,,,,,,,,,
149,20620,after_ablation,sphincter,adult,,,,,,,,,,,,,,,
150,20620,after_ablation,bulb,adult,,,,,,,,,,,,,,,
151,20620,after_ablation,cap1,adult,,,,,,,,,,,,,,,
152,20620,after_ablation,cap2,adult,,,,,,,,,,,,,,,
153,20620,after_ablation,cap3,adult,,,,,,,,,,,,,,,
154,20620,after_ablation,cap4,adult,,,,,,,,,,,,,,,
155,20620,after_ablation,cap5,adult,,,,,,,,,,,,,,,
156,20620,hyper2,pen_art,adult,,,,,,,,,,,,,,,
157,20620,hyper2,sphincter,adult,,,,,,,,,,,,,,,
158,20620,hyper2,bulb,adult,,,,,,,,,,,,,,,
159,20620,hyper2,cap1,adult,,,,,,,,,,,,,,,
160,11020,baseline,pen_art,adult,5.214978508342727,12.63180446927374,54.90566217307692,,,,10.154638326209602,10.4806666666667,9.95,183.343309508711,8.622317921920242,56.98430863670328,181.66766256287835,40.273018639755456,2.4000759442998243
161,11020,baseline,sphincter,adult,,,54.318144638297866,,,133.03350400863948,2.7419965652025544,2.985,2.587,,,,,,
162,11020,baseline,bulb,adult,,,54.46913190384615,,,,5.378535779128568,5.550481899824834,5.240368046505256,,,,,,
163,11020,baseline,cap1,adult,5.213481271322953,4.154498226950355,54.47245569230769,,,,4.666824592367689,4.702163610179379,4.179,180.4353175908302,15.392670914637046,4.722578735582019,2.6555619208018935,0.9090760906088139,0.2036691644043236
164,11020,baseline,cap2,adult,5.211495912373378,4.22634756097561,54.45490403846153,,,55.07405488924726,,,,74.61457408035112,100.04013877837728,3.565446916335648,111.58006867723184,13.241020238310576,11.53462930347791
165,11020,baseline,cap3,adult,5.208999943697779,4.532924590163934,54.45028297826086,,,36.825455415957414,,,,5.205666166057722,1.1937888695024075,1.3366658976102042,182.60777707840398,30.527569917601664,8.522827597685408
166,11020,baseline,cap4,adult,5.213073789112252,5.20355985915493,55.413202622641506,,,54.024145898936126,,,,61.507315756072984,17.43729432570417,3.4113113070281846,178.46063078962342,34.354104967870505,4.050680570975983
167,11020,baseline,cap5,adult,5.205518167205413,5.384153982300885,55.77175793617019,,,44.15852678646935,,,,56.85145517792351,8.353007228518981,3.727446926914379,202.56184834131463,43.80868825551844,9.89107421190371
168,11020,hyper,pen_art,adult,5.343134592945117,14.1394,111.62875740677967,,,,,,,128.83390029041323,35.273417579207084,6.432102764883129,146.68352477348546,10.848337756109165,1.086879665922887
169,11020,hyper,sphincter,adult,,,106.09633312500002,,,150.70220868604662,,,,,,,,,
170,11020,hyper,bulb,adult,5.679703875964512,8.82789226519337,102.89004086274512,,,,,,,290.43698311454386,37.15562175263724,6.712556739162761,11.047655980073962,2.5110450252642433,0.10622892903576468
171,11020,hyper,cap1,adult,5.722980432326651,5.444930167597765,101.38085986274513,,,,,,,164.27875153092586,19.73028345866322,9.305742563989972,1.391997405766043,0.1675356918790729,0.29633042170174967
172,11020,after_hyper,pen_art,adult,5.176623694097533,13.21669421487603,50.055069403846154,,,,8.894344039399723,9.004212071226501,8.49066666666667,572.4116514192698,92.42890246152831,36.978013983987914,286.319554995465,31.662164294005127,4.796788298164868
173,11020,after_hyper,sphincter,adult,,,49.8655935,,,134.39115372055676,1.6565650657699722,1.791,0.7398179693793105,,,,,,
174,11020,after_hyper,bulb,adult,5.175791592354401,8.205346368715084,50.25398897872342,,,,5.072914445265433,5.373,4.84233333333333,322.2620636297584,74.48154633251285,19.060518555671056,141.72505794441872,17.294880775516145,2.8310469940726217
175,11020,after_hyper,cap1,adult,5.181526816695908,4.826633333333334,50.295280760869574,,,,5.116761147435707,5.373,5.002908833483159,140.37523545525096,17.970758030144555,8.01366426121206,13.453116654567083,1.6964610107528502,0.12714689657326905
176,11020,after_hyper,cap2,adult,,,50.16400051923077,,,98.7087526296691,,,,,,,,,
